Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2019,Total oats,State,000 Hectares,23.8
Area Farmed in June,2019,Total oats,Northern and Western,000 Hectares,1.3
Area Farmed in June,2019,Total oats,Border,000 Hectares,0.5
Area Farmed in June,2019,Total oats,West,000 Hectares,0.7
Area Farmed in June,2019,Total oats,Southern,000 Hectares,12.9
Area Farmed in June,2019,Total oats,Mid-West,000 Hectares,2.2
Area Farmed in June,2019,Total oats,South-East,000 Hectares,7.9
Area Farmed in June,2019,Total oats,South-West,000 Hectares,2.8
Area Farmed in June,2019,Total oats,Eastern and Midland,000 Hectares,9.7
Area Farmed in June,2019,Total oats,Dublin and Mid-East,000 Hectares,7.7
Area Farmed in June,2019,Total oats,Midland,000 Hectares,2.0
Area Farmed in June,2019,Winter oats,State,000 Hectares,16.6
Area Farmed in June,2019,Winter oats,Northern and Western,000 Hectares,0.4
Area Farmed in June,2019,Winter oats,Border,000 Hectares,0.2
Area Farmed in June,2019,Winter oats,West,000 Hectares,0.2
Area Farmed in June,2019,Winter oats,Southern,000 Hectares,8.6
Area Farmed in June,2019,Winter oats,Mid-West,000 Hectares,1.6
Area Farmed in June,2019,Winter oats,South-East,000 Hectares,5.6
Area Farmed in June,2019,Winter oats,South-West,000 Hectares,1.4
Area Farmed in June,2019,Winter oats,Eastern and Midland,000 Hectares,7.6
Area Farmed in June,2019,Winter oats,Dublin and Mid-East,000 Hectares,6.3
Area Farmed in June,2019,Winter oats,Midland,000 Hectares,1.3
Area Farmed in June,2019,Spring oats,State,000 Hectares,7.2
Area Farmed in June,2019,Spring oats,Northern and Western,000 Hectares,0.9
Area Farmed in June,2019,Spring oats,Border,000 Hectares,0.3
Area Farmed in June,2019,Spring oats,West,000 Hectares,0.6
Area Farmed in June,2019,Spring oats,Southern,000 Hectares,4.3
Area Farmed in June,2019,Spring oats,Mid-West,000 Hectares,0.6
Area Farmed in June,2019,Spring oats,South-East,000 Hectares,2.3
Area Farmed in June,2019,Spring oats,South-West,000 Hectares,1.4
Area Farmed in June,2019,Spring oats,Eastern and Midland,000 Hectares,2.0
Area Farmed in June,2019,Spring oats,Dublin and Mid-East,000 Hectares,1.3
Area Farmed in June,2019,Spring oats,Midland,000 Hectares,0.7
Area Farmed in June,2019,Total barley,State,000 Hectares,179.4
Area Farmed in June,2019,Total barley,Northern and Western,000 Hectares,6.4
Area Farmed in June,2019,Total barley,Border,000 Hectares,3.5
Area Farmed in June,2019,Total barley,West,000 Hectares,2.8
Area Farmed in June,2019,Total barley,Southern,000 Hectares,101.7
Area Farmed in June,2019,Total barley,Mid-West,000 Hectares,14.9
Area Farmed in June,2019,Total barley,South-East,000 Hectares,58.2
Area Farmed in June,2019,Total barley,South-West,000 Hectares,28.7
Area Farmed in June,2019,Total barley,Eastern and Midland,000 Hectares,71.3
Area Farmed in June,2019,Total barley,Dublin and Mid-East,000 Hectares,49.1
Area Farmed in June,2019,Total barley,Midland,000 Hectares,22.2
Area Farmed in June,2019,Winter barley,State,000 Hectares,82.8
Area Farmed in June,2019,Winter barley,Northern and Western,000 Hectares,2.6
Area Farmed in June,2019,Winter barley,Border,000 Hectares,1.6
Area Farmed in June,2019,Winter barley,West,000 Hectares,1.0
Area Farmed in June,2019,Winter barley,Southern,000 Hectares,40.1
Area Farmed in June,2019,Winter barley,Mid-West,000 Hectares,8.6
Area Farmed in June,2019,Winter barley,South-East,000 Hectares,18.8
Area Farmed in June,2019,Winter barley,South-West,000 Hectares,12.7
Area Farmed in June,2019,Winter barley,Eastern and Midland,000 Hectares,40.1
Area Farmed in June,2019,Winter barley,Dublin and Mid-East,000 Hectares,31.1
Area Farmed in June,2019,Winter barley,Midland,000 Hectares,9.0
Area Farmed in June,2019,Spring barley,State,000 Hectares,96.5
Area Farmed in June,2019,Spring barley,Northern and Western,000 Hectares,3.7
Area Farmed in June,2019,Spring barley,Border,000 Hectares,2.0
Area Farmed in June,2019,Spring barley,West,000 Hectares,1.8
Area Farmed in June,2019,Spring barley,Southern,000 Hectares,61.6
Area Farmed in June,2019,Spring barley,Mid-West,000 Hectares,6.2
Area Farmed in June,2019,Spring barley,South-East,000 Hectares,39.3
Area Farmed in June,2019,Spring barley,South-West,000 Hectares,16.0
Area Farmed in June,2019,Spring barley,Eastern and Midland,000 Hectares,31.2
Area Farmed in June,2019,Spring barley,Dublin and Mid-East,000 Hectares,18.0
Area Farmed in June,2019,Spring barley,Midland,000 Hectares,13.2
Area Farmed in June,2019,Other cereals,State,000 Hectares,1.0
Area Farmed in June,2019,Other cereals,Northern and Western,000 Hectares,0.1
Area Farmed in June,2019,Other cereals,Border,000 Hectares,0.0
Area Farmed in June,2019,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2019,Other cereals,Southern,000 Hectares,0.4
Area Farmed in June,2019,Other cereals,Mid-West,000 Hectares,0.1
Area Farmed in June,2019,Other cereals,South-East,000 Hectares,0.3
Area Farmed in June,2019,Other cereals,South-West,000 Hectares,0.0
Area Farmed in June,2019,Other cereals,Eastern and Midland,000 Hectares,0.6
Area Farmed in June,2019,Other cereals,Dublin and Mid-East,000 Hectares,0.4
Area Farmed in June,2019,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2019,Rough grazing in use,State,000 Hectares,521.5
Area Farmed in June,2019,Rough grazing in use,Northern and Western,000 Hectares,244.3
Area Farmed in June,2019,Rough grazing in use,Border,000 Hectares,125.3
Area Farmed in June,2019,Rough grazing in use,West,000 Hectares,119.1
Area Farmed in June,2019,Rough grazing in use,Southern,000 Hectares,196.3
Area Farmed in June,2019,Rough grazing in use,Mid-West,000 Hectares,44.5
Area Farmed in June,2019,Rough grazing in use,South-East,000 Hectares,20.7
Area Farmed in June,2019,Rough grazing in use,South-West,000 Hectares,131.0
Area Farmed in June,2019,Rough grazing in use,Eastern and Midland,000 Hectares,80.9
Area Farmed in June,2019,Rough grazing in use,Dublin and Mid-East,000 Hectares,48.6
Area Farmed in June,2019,Rough grazing in use,Midland,000 Hectares,32.3
Area Farmed in June,2020,Area farmed (AAU),State,000 Hectares,4511.6
Area Farmed in June,2020,Area farmed (AAU),Northern and Western,000 Hectares,1487.3
Area Farmed in June,2020,Area farmed (AAU),Border,000 Hectares,695.4
Area Farmed in June,2020,Area farmed (AAU),West,000 Hectares,792.0
Area Farmed in June,2020,Area farmed (AAU),Southern,000 Hectares,2071.8
Area Farmed in June,2020,Area farmed (AAU),Mid-West,000 Hectares,720.8
Area Farmed in June,2020,Area farmed (AAU),South-East,000 Hectares,537.3
Area Farmed in June,2020,Area farmed (AAU),South-West,000 Hectares,813.8
Area Farmed in June,2020,Area farmed (AAU),Eastern and Midland,000 Hectares,952.4
Area Farmed in June,2020,Area farmed (AAU),Dublin and Mid-East,000 Hectares,501.9
Area Farmed in June,2020,Area farmed (AAU),Midland,000 Hectares,450.5
Area Farmed in June,2020,Crops and pasture,State,000 Hectares,4039.8
Area Farmed in June,2020,Crops and pasture,Northern and Western,000 Hectares,1235.3
Area Farmed in June,2020,Crops and pasture,Border,000 Hectares,566.9
Area Farmed in June,2020,Crops and pasture,West,000 Hectares,668.4
Area Farmed in June,2020,Crops and pasture,Southern,000 Hectares,1886.1
Area Farmed in June,2020,Crops and pasture,Mid-West,000 Hectares,674.4
Area Farmed in June,2020,Crops and pasture,South-East,000 Hectares,523.1
Area Farmed in June,2020,Crops and pasture,South-West,000 Hectares,688.7
Area Farmed in June,2020,Crops and pasture,Eastern and Midland,000 Hectares,918.4
Area Farmed in June,2020,Crops and pasture,Dublin and Mid-East,000 Hectares,482.2
Area Farmed in June,2020,Crops and pasture,Midland,000 Hectares,436.2
Area Farmed in June,2020,Pasture,State,000 Hectares,2311.5
Area Farmed in June,2020,Pasture,Northern and Western,000 Hectares,783.8
Area Farmed in June,2020,Pasture,Border,000 Hectares,361.9
Area Farmed in June,2020,Pasture,West,000 Hectares,421.9
Area Farmed in June,2020,Pasture,Southern,000 Hectares,1049.0
Area Farmed in June,2020,Pasture,Mid-West,000 Hectares,398.3
Area Farmed in June,2020,Pasture,South-East,000 Hectares,255.1
Area Farmed in June,2020,Pasture,South-West,000 Hectares,395.6
Area Farmed in June,2020,Pasture,Eastern and Midland,000 Hectares,478.8
Area Farmed in June,2020,Pasture,Dublin and Mid-East,000 Hectares,232.8
Area Farmed in June,2020,Pasture,Midland,000 Hectares,246.0
Area Farmed in June,2020,Hay,State,000 Hectares,169.7
Area Farmed in June,2020,Hay,Northern and Western,000 Hectares,58.6
Area Farmed in June,2020,Hay,Border,000 Hectares,24.4
Area Farmed in June,2020,Hay,West,000 Hectares,34.2
Area Farmed in June,2020,Hay,Southern,000 Hectares,69.8
Area Farmed in June,2020,Hay,Mid-West,000 Hectares,29.4
Area Farmed in June,2020,Hay,South-East,000 Hectares,18.8
Area Farmed in June,2020,Hay,South-West,000 Hectares,21.6
Area Farmed in June,2020,Hay,Eastern and Midland,000 Hectares,41.3
Area Farmed in June,2020,Hay,Dublin and Mid-East,000 Hectares,21.0
Area Farmed in June,2020,Hay,Midland,000 Hectares,20.3
Area Farmed in June,2020,Grass silage,State,000 Hectares,1199.0
Area Farmed in June,2020,Grass silage,Northern and Western,000 Hectares,373.7
Area Farmed in June,2020,Grass silage,Border,000 Hectares,171.1
Area Farmed in June,2020,Grass silage,West,000 Hectares,202.5
Area Farmed in June,2020,Grass silage,Southern,000 Hectares,589.0
Area Farmed in June,2020,Grass silage,Mid-West,000 Hectares,219.3
Area Farmed in June,2020,Grass silage,South-East,000 Hectares,147.9
Area Farmed in June,2020,Grass silage,South-West,000 Hectares,221.8
Area Farmed in June,2020,Grass silage,Eastern and Midland,000 Hectares,236.3
Area Farmed in June,2020,Grass silage,Dublin and Mid-East,000 Hectares,105.0
Area Farmed in June,2020,Grass silage,Midland,000 Hectares,131.4
Area Farmed in June,2020,"Total crops, fruit and horticulture",State,000 Hectares,359.6
Area Farmed in June,2020,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,19.2
Area Farmed in June,2020,"Total crops, fruit and horticulture",Border,000 Hectares,9.5
Area Farmed in June,2020,"Total crops, fruit and horticulture",West,000 Hectares,9.7
Area Farmed in June,2020,"Total crops, fruit and horticulture",Southern,000 Hectares,178.4
Area Farmed in June,2020,"Total crops, fruit and horticulture",Mid-West,000 Hectares,27.4
Area Farmed in June,2020,"Total crops, fruit and horticulture",South-East,000 Hectares,101.3
Area Farmed in June,2020,"Total crops, fruit and horticulture",South-West,000 Hectares,49.7
Area Farmed in June,2020,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,161.9
Area Farmed in June,2020,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,123.3
Area Farmed in June,2020,"Total crops, fruit and horticulture",Midland,000 Hectares,38.6
Area Farmed in June,2020,Beans and peas,State,000 Hectares,13.7
Area Farmed in June,2020,Beans and peas,Northern and Western,000 Hectares,0.0
Area Farmed in June,2020,Beans and peas,Border,000 Hectares,0.0
Area Farmed in June,2020,Beans and peas,West,000 Hectares,0.0
Area Farmed in June,2020,Beans and peas,Southern,000 Hectares,6.5
Area Farmed in June,2020,Beans and peas,Mid-West,000 Hectares,0.8
Area Farmed in June,2020,Beans and peas,South-East,000 Hectares,4.5
Area Farmed in June,2020,Beans and peas,South-West,000 Hectares,1.2
Area Farmed in June,2020,Beans and peas,Eastern and Midland,000 Hectares,7.2
Area Farmed in June,2020,Beans and peas,Dublin and Mid-East,000 Hectares,6.0
Area Farmed in June,2020,Beans and peas,Midland,000 Hectares,1.3
Area Farmed in June,2020,Oilseed rape,State,000 Hectares,10.3
Area Farmed in June,2020,Oilseed rape,Northern and Western,000 Hectares,0.0
Area Farmed in June,2020,Oilseed rape,Border,000 Hectares,0.0
Area Farmed in June,2020,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2020,Oilseed rape,Southern,000 Hectares,3.4
Area Farmed in June,2020,Oilseed rape,Mid-West,000 Hectares,0.9
Area Farmed in June,2020,Oilseed rape,South-East,000 Hectares,2.3
Area Farmed in June,2020,Oilseed rape,South-West,000 Hectares,0.3
Area Farmed in June,2020,Oilseed rape,Eastern and Midland,000 Hectares,6.9
Area Farmed in June,2020,Oilseed rape,Dublin and Mid-East,000 Hectares,5.7
Area Farmed in June,2020,Oilseed rape,Midland,000 Hectares,1.2
Area Farmed in June,2020,Arable silage,State,000 Hectares,2.5
Area Farmed in June,2020,Arable silage,Northern and Western,000 Hectares,0.7
Area Farmed in June,2020,Arable silage,Border,000 Hectares,0.5
Area Farmed in June,2020,Arable silage,West,000 Hectares,0.2
Area Farmed in June,2020,Arable silage,Southern,000 Hectares,1.2
Area Farmed in June,2020,Arable silage,Mid-West,000 Hectares,0.2
Area Farmed in June,2020,Arable silage,South-East,000 Hectares,0.5
Area Farmed in June,2020,Arable silage,South-West,000 Hectares,0.4
Area Farmed in June,2020,Arable silage,Eastern and Midland,000 Hectares,0.6
Area Farmed in June,2020,Arable silage,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2020,Arable silage,Midland,000 Hectares,0.4
Area Farmed in June,2020,Maize silage,State,000 Hectares,14.8
Area Farmed in June,2020,Maize silage,Northern and Western,000 Hectares,0.2
Area Farmed in June,2020,Maize silage,Border,000 Hectares,0.2
Area Farmed in June,2020,Maize silage,West,000 Hectares,0.1
Area Farmed in June,2020,Maize silage,Southern,000 Hectares,9.6
Area Farmed in June,2020,Maize silage,Mid-West,000 Hectares,1.0
Area Farmed in June,2020,Maize silage,South-East,000 Hectares,4.8
Area Farmed in June,2020,Maize silage,South-West,000 Hectares,3.8
Area Farmed in June,2020,Maize silage,Eastern and Midland,000 Hectares,5.0
Area Farmed in June,2020,Maize silage,Dublin and Mid-East,000 Hectares,3.9
Area Farmed in June,2020,Maize silage,Midland,000 Hectares,1.1
Area Farmed in June,2020,Fodder rape and kale,State,000 Hectares,1.2
Area Farmed in June,2020,Fodder rape and kale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2020,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2020,Fodder rape and kale,West,000 Hectares,0.2
Area Farmed in June,2020,Fodder rape and kale,Southern,000 Hectares,0.5
Area Farmed in June,2020,Fodder rape and kale,Mid-West,000 Hectares,0.1
Area Farmed in June,2020,Fodder rape and kale,South-East,000 Hectares,0.2
Area Farmed in June,2020,Fodder rape and kale,South-West,000 Hectares,0.1
Area Farmed in June,2020,Fodder rape and kale,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2020,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2020,Fodder rape and kale,Midland,000 Hectares,0.3
Area Farmed in June,2020,Potatoes,State,000 Hectares,8.9
Area Farmed in June,2020,Potatoes,Northern and Western,000 Hectares,1.0
Area Farmed in June,2020,Potatoes,Border,000 Hectares,0.9
Area Farmed in June,2020,Potatoes,West,000 Hectares,0.0
Area Farmed in June,2020,Potatoes,Southern,000 Hectares,3.0
Area Farmed in June,2020,Potatoes,Mid-West,000 Hectares,0.3
Area Farmed in June,2020,Potatoes,South-East,000 Hectares,1.9
Area Farmed in June,2020,Potatoes,South-West,000 Hectares,0.8
Area Farmed in June,2020,Potatoes,Eastern and Midland,000 Hectares,4.9
Area Farmed in June,2020,Potatoes,Dublin and Mid-East,000 Hectares,4.8
Area Farmed in June,2020,Potatoes,Midland,000 Hectares,0.2
Area Farmed in June,2020,Turnips,State,000 Hectares,0.8
Area Farmed in June,2020,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2020,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2020,Turnips,West,000 Hectares,0.1
Area Farmed in June,2020,Turnips,Southern,000 Hectares,0.3
Area Farmed in June,2020,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2020,Turnips,South-East,000 Hectares,0.2
Area Farmed in June,2020,Turnips,South-West,000 Hectares,0.1
Area Farmed in June,2020,Turnips,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2020,Turnips,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2020,Turnips,Midland,000 Hectares,0.0
Area Farmed in June,2020,Beet,State,000 Hectares,9.1
Area Farmed in June,2020,Beet,Northern and Western,000 Hectares,0.3
Area Farmed in June,2020,Beet,Border,000 Hectares,0.0
Area Farmed in June,2020,Beet,West,000 Hectares,0.3
Area Farmed in June,2020,Beet,Southern,000 Hectares,6.0
Area Farmed in June,2020,Beet,Mid-West,000 Hectares,0.7
Area Farmed in June,2020,Beet,South-East,000 Hectares,3.1
Area Farmed in June,2020,Beet,South-West,000 Hectares,2.2
Area Farmed in June,2020,Beet,Eastern and Midland,000 Hectares,2.7
Area Farmed in June,2020,Beet,Dublin and Mid-East,000 Hectares,1.3
Area Farmed in June,2020,Beet,Midland,000 Hectares,1.4
Area Farmed in June,2020,Vegetables for sale,State,000 Hectares,3.7
Area Farmed in June,2020,Vegetables for sale,Northern and Western,000 Hectares,0.1
Area Farmed in June,2020,Vegetables for sale,Border,000 Hectares,0.0
Area Farmed in June,2020,Vegetables for sale,West,000 Hectares,0.1
Area Farmed in June,2020,Vegetables for sale,Southern,000 Hectares,1.1
Area Farmed in June,2020,Vegetables for sale,Mid-West,000 Hectares,0.0
Area Farmed in June,2020,Vegetables for sale,South-East,000 Hectares,0.7
Area Farmed in June,2020,Vegetables for sale,South-West,000 Hectares,0.4
Area Farmed in June,2020,Vegetables for sale,Eastern and Midland,000 Hectares,2.5
Area Farmed in June,2020,Vegetables for sale,Dublin and Mid-East,000 Hectares,2.3
Area Farmed in June,2020,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2020,Fruit,State,000 Hectares,0.8
Area Farmed in June,2020,Fruit,Northern and Western,000 Hectares,0.0
Area Farmed in June,2020,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2020,Fruit,West,000 Hectares,0.0
Area Farmed in June,2020,Fruit,Southern,000 Hectares,0.4
Area Farmed in June,2020,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2020,Fruit,South-East,000 Hectares,0.3
Area Farmed in June,2020,Fruit,South-West,000 Hectares,0.0
Area Farmed in June,2020,Fruit,Eastern and Midland,000 Hectares,0.3
Area Farmed in June,2020,Fruit,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2020,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2020,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2020,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2020,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2020,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2020,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2020,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.0
Area Farmed in June,2020,"Nurseries, horticulture etc.",South-East,000 Hectares,0.3
Area Farmed in June,2020,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2020,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2020,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2020,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2020,Other crops,State,000 Hectares,26.8
Area Farmed in June,2020,Other crops,Northern and Western,000 Hectares,8.0
Area Farmed in June,2020,Other crops,Border,000 Hectares,2.9
Area Farmed in June,2020,Other crops,West,000 Hectares,5.1
Area Farmed in June,2020,Other crops,Southern,000 Hectares,9.9
Area Farmed in June,2020,Other crops,Mid-West,000 Hectares,2.4
Area Farmed in June,2020,Other crops,South-East,000 Hectares,4.8
Area Farmed in June,2020,Other crops,South-West,000 Hectares,2.7
Area Farmed in June,2020,Other crops,Eastern and Midland,000 Hectares,8.9
Area Farmed in June,2020,Other crops,Dublin and Mid-East,000 Hectares,5.0
Area Farmed in June,2020,Other crops,Midland,000 Hectares,3.9
Area Farmed in June,2020,Total cereals,State,000 Hectares,266.6
Area Farmed in June,2020,Total cereals,Northern and Western,000 Hectares,8.5
Area Farmed in June,2020,Total cereals,Border,000 Hectares,4.9
Area Farmed in June,2020,Total cereals,West,000 Hectares,3.7
Area Farmed in June,2020,Total cereals,Southern,000 Hectares,136.2
Area Farmed in June,2020,Total cereals,Mid-West,000 Hectares,20.9
Area Farmed in June,2020,Total cereals,South-East,000 Hectares,77.7
Area Farmed in June,2020,Total cereals,South-West,000 Hectares,37.6
Area Farmed in June,2020,Total cereals,Eastern and Midland,000 Hectares,121.8
Area Farmed in June,2020,Total cereals,Dublin and Mid-East,000 Hectares,93.1
Area Farmed in June,2020,Total cereals,Midland,000 Hectares,28.7
Area Farmed in June,2020,Total wheat,State,000 Hectares,47.0
Area Farmed in June,2020,Total wheat,Northern and Western,000 Hectares,0.8
Area Farmed in June,2020,Total wheat,Border,000 Hectares,0.6
Area Farmed in June,2020,Total wheat,West,000 Hectares,0.1
Area Farmed in June,2020,Total wheat,Southern,000 Hectares,15.7
Area Farmed in June,2020,Total wheat,Mid-West,000 Hectares,2.8
Area Farmed in June,2020,Total wheat,South-East,000 Hectares,8.5
Area Farmed in June,2020,Total wheat,South-West,000 Hectares,4.4
Area Farmed in June,2020,Total wheat,Eastern and Midland,000 Hectares,30.5
Area Farmed in June,2020,Total wheat,Dublin and Mid-East,000 Hectares,27.4
Area Farmed in June,2020,Total wheat,Midland,000 Hectares,3.1
Area Farmed in June,2020,Winter wheat,State,000 Hectares,35.4
Area Farmed in June,2020,Winter wheat,Northern and Western,000 Hectares,0.6
Area Farmed in June,2020,Winter wheat,Border,000 Hectares,0.5
Area Farmed in June,2020,Winter wheat,West,000 Hectares,0.1
Area Farmed in June,2020,Winter wheat,Southern,000 Hectares,11.1
Area Farmed in June,2020,Winter wheat,Mid-West,000 Hectares,2.3
Area Farmed in June,2020,Winter wheat,South-East,000 Hectares,5.6
Area Farmed in June,2020,Winter wheat,South-West,000 Hectares,3.2
Area Farmed in June,2020,Winter wheat,Eastern and Midland,000 Hectares,23.8
Area Farmed in June,2020,Winter wheat,Dublin and Mid-East,000 Hectares,21.1
Area Farmed in June,2020,Winter wheat,Midland,000 Hectares,2.7
Area Farmed in June,2020,Spring wheat,State,000 Hectares,11.5
Area Farmed in June,2020,Spring wheat,Northern and Western,000 Hectares,0.2
Area Farmed in June,2020,Spring wheat,Border,000 Hectares,0.2
Area Farmed in June,2020,Spring wheat,West,000 Hectares,0.0
Area Farmed in June,2020,Spring wheat,Southern,000 Hectares,4.7
Area Farmed in June,2020,Spring wheat,Mid-West,000 Hectares,0.5
Area Farmed in June,2020,Spring wheat,South-East,000 Hectares,3.0
Area Farmed in June,2020,Spring wheat,South-West,000 Hectares,1.2
Area Farmed in June,2020,Spring wheat,Eastern and Midland,000 Hectares,6.7
Area Farmed in June,2020,Spring wheat,Dublin and Mid-East,000 Hectares,6.3
Area Farmed in June,2020,Spring wheat,Midland,000 Hectares,0.4
Area Farmed in June,2020,Total oats,State,000 Hectares,25.4
Area Farmed in June,2020,Total oats,Northern and Western,000 Hectares,1.3
Area Farmed in June,2020,Total oats,Border,000 Hectares,0.6
Area Farmed in June,2020,Total oats,West,000 Hectares,0.7
Area Farmed in June,2020,Total oats,Southern,000 Hectares,12.8
Area Farmed in June,2020,Total oats,Mid-West,000 Hectares,2.6
Area Farmed in June,2020,Total oats,South-East,000 Hectares,7.7
Area Farmed in June,2020,Total oats,South-West,000 Hectares,2.5
Area Farmed in June,2020,Total oats,Eastern and Midland,000 Hectares,11.3
Area Farmed in June,2020,Total oats,Dublin and Mid-East,000 Hectares,8.9
Area Farmed in June,2020,Total oats,Midland,000 Hectares,2.4
Area Farmed in June,2020,Winter oats,State,000 Hectares,8.3
Area Farmed in June,2020,Winter oats,Northern and Western,000 Hectares,0.3
Area Farmed in June,2020,Winter oats,Border,000 Hectares,0.2
Area Farmed in June,2020,Winter oats,West,000 Hectares,0.1
Area Farmed in June,2020,Winter oats,Southern,000 Hectares,4.4
Area Farmed in June,2020,Winter oats,Mid-West,000 Hectares,1.2
Area Farmed in June,2020,Winter oats,South-East,000 Hectares,2.6
Area Farmed in June,2020,Winter oats,South-West,000 Hectares,0.6
Area Farmed in June,2020,Winter oats,Eastern and Midland,000 Hectares,3.6
Area Farmed in June,2020,Winter oats,Dublin and Mid-East,000 Hectares,2.6
Area Farmed in June,2020,Winter oats,Midland,000 Hectares,1.0
Area Farmed in June,2020,Spring oats,State,000 Hectares,17.2
Area Farmed in June,2020,Spring oats,Northern and Western,000 Hectares,1.0
Area Farmed in June,2020,Spring oats,Border,000 Hectares,0.4
Area Farmed in June,2020,Spring oats,West,000 Hectares,0.6
Area Farmed in June,2020,Spring oats,Southern,000 Hectares,8.4
Area Farmed in June,2020,Spring oats,Mid-West,000 Hectares,1.4
Area Farmed in June,2020,Spring oats,South-East,000 Hectares,5.1
Area Farmed in June,2020,Spring oats,South-West,000 Hectares,2.0
Area Farmed in June,2020,Spring oats,Eastern and Midland,000 Hectares,7.7
Area Farmed in June,2020,Spring oats,Dublin and Mid-East,000 Hectares,6.2
Area Farmed in June,2020,Spring oats,Midland,000 Hectares,1.5
Area Farmed in June,2020,Total barley,State,000 Hectares,193.2
Area Farmed in June,2020,Total barley,Northern and Western,000 Hectares,6.4
Area Farmed in June,2020,Total barley,Border,000 Hectares,3.6
Area Farmed in June,2020,Total barley,West,000 Hectares,2.8
Area Farmed in June,2020,Total barley,Southern,000 Hectares,107.2
Area Farmed in June,2020,Total barley,Mid-West,000 Hectares,15.3
Area Farmed in June,2020,Total barley,South-East,000 Hectares,61.3
Area Farmed in June,2020,Total barley,South-West,000 Hectares,30.6
Area Farmed in June,2020,Total barley,Eastern and Midland,000 Hectares,79.6
Area Farmed in June,2020,Total barley,Dublin and Mid-East,000 Hectares,56.6
Area Farmed in June,2020,Total barley,Midland,000 Hectares,23.1
Area Farmed in June,2020,Winter barley,State,000 Hectares,51.5
Area Farmed in June,2020,Winter barley,Northern and Western,000 Hectares,1.9
Area Farmed in June,2020,Winter barley,Border,000 Hectares,1.4
Area Farmed in June,2020,Winter barley,West,000 Hectares,0.6
Area Farmed in June,2020,Winter barley,Southern,000 Hectares,25.8
Area Farmed in June,2020,Winter barley,Mid-West,000 Hectares,6.3
Area Farmed in June,2020,Winter barley,South-East,000 Hectares,10.4
Area Farmed in June,2020,Winter barley,South-West,000 Hectares,9.1
Area Farmed in June,2020,Winter barley,Eastern and Midland,000 Hectares,23.8
Area Farmed in June,2020,Winter barley,Dublin and Mid-East,000 Hectares,17.9
Area Farmed in June,2020,Winter barley,Midland,000 Hectares,5.9
Area Farmed in June,2020,Spring barley,State,000 Hectares,141.7
Area Farmed in June,2020,Spring barley,Northern and Western,000 Hectares,4.5
Area Farmed in June,2020,Spring barley,Border,000 Hectares,2.2
Area Farmed in June,2020,Spring barley,West,000 Hectares,2.2
Area Farmed in June,2020,Spring barley,Southern,000 Hectares,81.4
Area Farmed in June,2020,Spring barley,Mid-West,000 Hectares,8.9
Area Farmed in June,2020,Spring barley,South-East,000 Hectares,50.9
Area Farmed in June,2020,Spring barley,South-West,000 Hectares,21.6
Area Farmed in June,2020,Spring barley,Eastern and Midland,000 Hectares,55.9
Area Farmed in June,2020,Spring barley,Dublin and Mid-East,000 Hectares,38.7
Area Farmed in June,2020,Spring barley,Midland,000 Hectares,17.2
Area Farmed in June,2020,Other cereals,State,000 Hectares,1.0
Area Farmed in June,2020,Other cereals,Northern and Western,000 Hectares,0.1
Area Farmed in June,2020,Other cereals,Border,000 Hectares,0.1
Area Farmed in June,2020,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2020,Other cereals,Southern,000 Hectares,0.5
